,id,nofamill,sexe,handedness,zygotie
SD2063085,120602,1206,0,1,1
MAB2066500,120103,1201,1,1,1
MB2066499,120102,1201,1,1,1
ASL2057032,119902,1199,1,0,0
JP2065882,119603,1196,1,1,1
JP2065881,119602,1196,1,0,1
NCB2060203,119402,1194,1,1,1
CD2061225,119203,1192,0,0,1
GD2061224,119202,1192,0,0,1
AM2058890,119103,1191,0,1,1
IM2058891,119102,1191,0,0,1
SF2060674,118903,1189,0,0,1
SF2060673,118902,1189,0,1,1
GC2058859,118603,1186,0,1,0
JC2058888,118602,1186,1,1,0
AG2058223,118103,1181,1,1,0
PLG2058225,118102,1181,1,2,0
GJ2061221,117903,1179,1,1,0
OJ2061220,117902,1179,1,1,0
CL2055947,117803,1178,1,0,0
ML2055946,117802,1178,1,1,0
ZDL2056482,117403,1174,0,1,0
RDL2056484,117402,1174,1,1,0
FB2054083,117302,1173,0,1,1
SD2060197,117203,1172,0,1,0
TD2060196,117202,1172,1,1,0
AD2054080,116903,1169,0,1,0
JD2054081,116902,1169,1,1,0
RO2057636,116703,1167,1,1,0
SAB2055335,116103,1161,1,1,0
MAB2055334,116102,1161,1,1,0
AP2058893,115603,1156,0,1,0
EC2052298,115203,1152,1,1,1
MC2052299,115202,1152,1,1,1
TBE2051302,115003,1150,0,1,1
TCED2051301,115002,1150,0,1,1
RJL2057630,114503,1145,1,1,1
SJL2057631,114502,1145,1,0,1
AR2053028,114303,1143,0,1,1
JR2053029,114302,1143,0,1,1
JCG2048017,113903,1139,1,2,0
EG2048018,113902,1139,1,1,0
KM2051299,113802,1138,0,1,0
ND2057033,113703,1137,1,2,1
AR2053030,113503,1135,1,1,1
SL1260832,113403,1134,0,1,1
CL1260833,113402,1134,0,1,1
XGD2057634,112903,1129,1,1,0
NGD2057635,112902,1129,0,1,0
DC2049389,112803,1128,1,1,1
NC2049388,112802,1128,1,1,1
ENH2049391,112703,1127,1,1,0
JNH2049390,112702,1127,1,1,0
ET2048019,112603,1126,0,1,0
ET2048020,112602,1126,1,0,0
CR2049900,112203,1122,0,1,0
ER2049899,112202,1122,0,0,0
SRT2049902,112003,1120,1,1,1
NC2049904,111903,1119,0,1,1
SC2049903,111902,1119,0,1,1
RVC2046819,111602,1116,0,1,0
MMB2046816,111303,1113,1,2,0
FMB2046817,111302,1113,1,1,0
JC2047399,111203,1112,0,1,0
AF2041888,111102,1111,0,0,0
FP2039587,110603,1106,1,0,0
CSL1254810,109902,1099,1,1,0
DL2043073,109803,1098,1,1,1
EL2043074,109802,1098,1,1,1
KP1385163,109503,1095,1,1,1
JP1385162,109502,1095,1,1,1
GS2042677,109203,1092,1,1,1
JS2042678,109202,1092,1,1,1
CT2051889,109103,1091,0,1,0
AT2051890,109102,1091,0,1,0
MB2043824,109002,1090,1,1,1
WC2046219,108903,1089,1,1,1
VC2046218,108902,1089,1,1,1
JM2046221,108703,1087,0,1,0
EM2046220,108702,1087,0,1,0
ND2041886,108502,1085,1,1,0
JML2040631,108103,1081,1,0,0
MPL2040630,108102,1081,0,1,0
GC2053034,108003,1080,0,1,0
ARV2039589,107903,1079,0,1,0
SRV2039588,107902,1079,1,2,0
SNO2049387,107503,1075,0,1,0
DP2042675,107303,1073,1,1,1
DP2042676,107302,1073,1,1,1
CB2050531,107103,1071,0,2,0
EL2043823,106903,1069,0,0,1
CL2043822,106902,1069,0,1,1
MB2040629,106803,1068,0,1,1
SB2040628,106802,1068,0,1,1
BL2042673,106703,1067,0,1,0
FL2042672,106702,1067,0,2,0
ABL2039584,106602,1066,0,1,0
SMR2046222,106403,1064,0,0,0
VMR2046223,106402,1064,1,2,0
SBC2040108,106303,1063,1,1,1
FBC2040107,106302,1063,1,1,1
SP2039046,106002,1060,1,1,0
MPM2040106,105903,1059,0,1,0
CR2037289,105803,1058,1,0,0
ER2037194,105802,1058,0,1,0
SS2045596,105703,1057,0,1,1
RS2045595,105702,1057,0,0,1
JC2033780,105503,1055,0,1,0
KC2033781,105502,1055,1,1,0
MOD2043071,105303,1053,1,1,0
MH2037804,105103,1051,0,1,1
MH2037806,105102,1051,0,1,1
MH2037806,105102,1051,0,1,1
JT2047401,105003,1050,1,1,1
JT2047402,105002,1050,1,1,1
MJV2035537,103702,1037,0,1,0
TL2036680,103503,1035,1,1,1
MF2033422,103302,1033,1,1,0
CL2034448,103003,1030,0,0,0
JN2034961,102702,1027,0,1,1
MV2033419,102503,1025,1,1,0
DT2036100,101302,1013,1,1,0
AF2034454,100702,1007,0,1,1
KAC2037803,100303,1003,0,1,1
EC2037802,100302,1003,0,0,1
