PMID,Author ,Year,subjects,x,y,z,Contrast,Direction,
21862179,Binnewijzend,2012,82,-22,-74,-32,ADMCI,Decrease,
21862179,Binnewijzend,2012,82,14,-58,4,ADMCI,Decrease,
21862179,Binnewijzend,2012,82,-2,-62,4,ADMCI,Decrease,
21862179,Binnewijzend,2012,82,2,-50,28,ADMCI,Decrease,
21862179,Binnewijzend,2012,82,-2,-62,4,ADMCI,Decrease,
21862179,Binnewijzend,2012,82,2,-46,28,ADMCI,Decrease,
21862179,Binnewijzend,2012,82,-2,-62,32,ADMCI,Decrease,
21862179,Binnewijzend,2012,82,2,-34,28,ADMCI,Decrease,
21862179,Binnewijzend,2012,82,30,-94,20,ADMCI,Decrease,
23313926,Zhu,2013,22,3,-63,29,ADMCI,Decrease,
23313926,Zhu,2013,22,10,-52,21,ADMCI,Decrease,
23313926,Zhu,2013,22,-8,41,49,ADMCI,Decrease,
23313926,Zhu,2013,22,25,-15,-23,ADMCI,Decrease,
23313926,Zhu,2013,22,4,-65,29,ADMCI,Decrease,
23313926,Zhu,2013,22,-4,-35,35,ADMCI,Decrease,
23313926,Zhu,2013,22,-39,-70,36,ADMCI,Decrease,
23313926,Zhu,2013,22,46,-62,40,ADMCI,Decrease,
23313926,Zhu,2013,22,43,-58,26,ADMCI,Decrease,
23418130,Balthazar,2014,37,6,-66,24,ADMCI,Decrease,
23418130,Balthazar,2014,37,-2,-64,54,ADMCI,Decrease,
23643516,Yao,2013,62,-28,-8,-28,ADMCI,Decrease,
23643516,Yao,2013,62,-34,-16,-26,ADMCI,Decrease,
23643516,Yao,2013,62,12,12,4,ADMCI,Decrease,
23643516,Yao,2013,62,14,10,14,ADMCI,Decrease,
23643516,Yao,2013,62,-14,18,6,ADMCI,Decrease,
23643516,Yao,2013,62,32,6,-18,ADMCI,Decrease,
23643516,Yao,2013,62,38,14,-16,ADMCI,Decrease,
23643516,Yao,2013,62,30,14,-20,ADMCI,Decrease,
23643516,Yao,2013,62,-50,2,-6,ADMCI,Decrease,
23643516,Yao,2013,62,-38,22,-12,ADMCI,Decrease,
23643516,Yao,2013,62,-24,4,-4,ADMCI,Decrease,
23643516,Yao,2013,62,-28,-4,-26,ADMCI,Decrease,
23643516,Yao,2013,62,-2,48,30,ADMCI,Decrease,
23643516,Yao,2013,62,-36,-14,14,ADMCI,Decrease,
23643516,Yao,2013,62,-38,38,-10,ADMCI,Decrease,
23643516,Yao,2013,62,-52,4,18,ADMCI,Decrease,
23643516,Yao,2013,62,-60,4,16,ADMCI,Decrease,
23643516,Yao,2013,62,4,30,30,ADMCI,Decrease,
23643516,Yao,2013,62,30,-12,0,ADMCI,Decrease,
23643516,Yao,2013,62,26,4,-2,ADMCI,Decrease,
23643516,Yao,2013,62,24,-6,-4,ADMCI,Decrease,
23643516,Yao,2013,62,10,66,16,ADMCI,Decrease,
23643516,Yao,2013,62,20,60,22,ADMCI,Decrease,
23643516,Yao,2013,62,10,56,28,ADMCI,Decrease,
23643516,Yao,2013,62,-2,-56,38,ADMCI,Decrease,
23643516,Yao,2013,62,6,-52,34,ADMCI,Decrease,
23643516,Yao,2013,62,-2,-66,44,ADMCI,Decrease,
23643516,Yao,2013,62,-48,30,-14,ADMCI,Decrease,
23643516,Yao,2013,62,-40,22,-10,ADMCI,Decrease,
23643516,Yao,2013,62,12,66,16,ADMCI,Decrease,
23643516,Yao,2013,62,22,62,6,ADMCI,Decrease,
23643516,Yao,2013,62,22,58,22,ADMCI,Decrease,
23643516,Yao,2013,62,-44,-62,32,ADMCI,Decrease,
23643516,Yao,2013,62,-40,-58,40,ADMCI,Decrease,
23643516,Yao,2013,62,-54,-66,30,ADMCI,Decrease,
23643516,Yao,2013,62,36,22,-12,ADMCI,Decrease,
23643516,Yao,2013,62,-2,-40,-12,ADMCI,Decrease,
23643516,Yao,2013,62,-16,-52,-14,ADMCI,Decrease,
23643516,Yao,2013,62,10,-42,-18,ADMCI,Decrease,
23643516,Yao,2013,62,-14,8,12,ADMCI,Decrease,
23643516,Yao,2013,62,-12,18,4,ADMCI,Decrease,
23643516,Yao,2013,62,-18,22,0,ADMCI,Decrease,
23643516,Yao,2013,62,-52,14,10,ADMCI,Decrease,
23643516,Yao,2013,62,-24,2,-22,ADMCI,Decrease,
23643516,Yao,2013,62,36,24,-12,ADMCI,Decrease,
23643516,Yao,2013,62,14,14,8,ADMCI,Decrease,
23643516,Yao,2013,62,12,20,-2,ADMCI,Decrease,
23643516,Yao,2013,62,62,-30,14,ADMCI,Decrease,
23643516,Yao,2013,62,54,-32,12,ADMCI,Decrease,
24123475,Gour,2014,28,0,22,-16,ADMCI,Decrease,
24123475,Gour,2014,28,0,34,-14,ADMCI,Decrease,
24123475,Gour,2014,28,-2,14,-18,ADMCI,Decrease,
24123475,Gour,2014,28,-6,34,-18,ADMCI,Decrease,
24123475,Gour,2014,28,-4,28,-14,ADMCI,Decrease,
24123475,Gour,2014,28,-8,36,-6,ADMCI,Decrease,
24123475,Gour,2014,28,6,48,-8,ADMCI,Decrease,
24123475,Gour,2014,28,22,-66,12,ADMCI,Decrease,
24123475,Gour,2014,28,8,-70,8,ADMCI,Decrease,
24123475,Gour,2014,28,8,-66,6,ADMCI,Decrease,
24123475,Gour,2014,28,-8,-90,12,ADMCI,Decrease,
24123475,Gour,2014,28,12,-74,4,ADMCI,Decrease,
24123475,Gour,2014,28,-10,-98,12,ADMCI,Decrease,
24123475,Gour,2014,28,14,-66,28,ADMCI,Decrease,
24123475,Gour,2014,28,4,-74,12,ADMCI,Decrease,
24123475,Gour,2014,28,-8,-94,16,ADMCI,Decrease,
24123475,Gour,2014,28,-2,-62,10,ADMCI,Decrease,
24123475,Gour,2014,28,10,-70,32,ADMCI,Decrease,
24123475,Gour,2014,28,8,-88,18,ADMCI,Decrease,
24123475,Gour,2014,28,10,-28,38,ADMCI,Decrease,
24123475,Gour,2014,28,12,-32,38,ADMCI,Decrease,
24123475,Gour,2014,28,14,-46,52,ADMCI,Decrease,
24123475,Gour,2014,28,8,-38,52,ADMCI,Decrease,
24484280,Weiler,2014,48,9,57,-3,ADMCI,Decrease,
24484280,Weiler,2014,48,12,-72,24,ADMCI,Decrease,
24484280,Weiler,2014,48,-30,24,48,ADMCI,Decrease,
24484280,Weiler,2014,48,18,27,48,ADMCI,Decrease,
24484280,Weiler,2014,48,-6,-96,3,ADMCI,Decrease,
24484280,Weiler,2014,48,-45,-69,-3,ADMCI,Decrease,
24484280,Weiler,2014,48,63,-36,3,ADMCI,Decrease,
24990445,Balachandar,2015,30,29,36,38,ADMCI,Decrease,
24990445,Balachandar,2015,30,29,60,19,ADMCI,Decrease,
24990445,Balachandar,2015,30,37,49,25,ADMCI,Decrease,
25043909,Pasquini,2015,43,9,-65,44,ADMCI,Decrease,
25080229,Adriaanse,2014,59,10,-62,36,ADMCI,Decrease,
25745400,Yi,2015,23,6,-76,36,ADMCI,Decrease,
25745400,Yi,2015,23,-2,-40,38,ADMCI,Decrease,
18003904,Sorg,2007,40,6,63,27,ADMCI,Decrease,
18003904,Sorg,2007,40,-6,-54,24,ADMCI,Decrease,
18003904,Sorg,2007,40,0,-54,15,ADMCI,Decrease,
18003904,Sorg,2007,40,-45,-69,36,ADMCI,Decrease,
18003904,Sorg,2007,40,51,-66,33,ADMCI,Decrease,
18003904,Sorg,2007,40,45,3,57,ADMCI,Decrease,
