PMID,Author ,Year,subjects,x,y,z,Contrast,Direction
21259382,Wu,2011,31,-1.87,-43.46,10.75,AD,Decrease
21259382,Wu,2011,31,4.22,48.83,6.29,AD,Decrease
21259382,Wu,2011,31,-51.92,-50.68,32,AD,Decrease
21259382,Wu,2011,31,-55.55,-22.15,-11.61,AD,Decrease
21259382,Wu,2011,31,-34.24,-20.5,-19.8,AD,Decrease
21259382,Wu,2011,31,26.69,-18.83,-17.29,AD,Decrease
21259382,Wu,2011,31,-36,-63,56,AD,Decrease
21259382,Wu,2011,31,-45,6,32,AD,Decrease
21259382,Wu,2011,31,-3,30,40,AD,Decrease
21259382,Wu,2011,31,54,-30,52,AD,Decrease
21259382,Wu,2011,31,45,12,28,AD,Decrease
21840627,Damoiseaux,2012,39,-4,-68,34,AD,Decrease
21862179,Binnewijzend,2012,82,22,-26,8,AD,Decrease
21862179,Binnewijzend,2012,82,30,-14,-4,AD,Decrease
21862179,Binnewijzend,2012,82,26,-62,-36,AD,Decrease
21862179,Binnewijzend,2012,82,22,-26,12,AD,Decrease
21862179,Binnewijzend,2012,82,30,-14,-4,AD,Decrease
21862179,Binnewijzend,2012,82,26,-62,-36,AD,Decrease
21862179,Binnewijzend,2012,82,30,-54,-40,AD,Decrease
21862179,Binnewijzend,2012,82,-22,-74,-32,AD,Decrease
21862179,Binnewijzend,2012,82,14,-58,4,AD,Decrease
21862179,Binnewijzend,2012,82,-2,-62,4,AD,Decrease
21862179,Binnewijzend,2012,82,2,-50,28,AD,Decrease
21862179,Binnewijzend,2012,82,-2,-62,4,AD,Decrease
21862179,Binnewijzend,2012,82,2,-46,28,AD,Decrease
21862179,Binnewijzend,2012,82,-2,-62,32,AD,Decrease
21862179,Binnewijzend,2012,82,2,-34,28,AD,Decrease
21862179,Binnewijzend,2012,82,30,-94,20,AD,Decrease
23313926,Zhu,2013,22,3,-63,29,AD,Decrease
23313926,Zhu,2013,22,10,-52,21,AD,Decrease
23313926,Zhu,2013,22,-8,41,49,AD,Decrease
23313926,Zhu,2013,22,25,-15,-23,AD,Decrease
23313926,Zhu,2013,22,4,-65,29,AD,Decrease
23313926,Zhu,2013,22,-4,-35,35,AD,Decrease
23313926,Zhu,2013,22,-39,-70,36,AD,Decrease
23313926,Zhu,2013,22,46,-62,40,AD,Decrease
23313926,Zhu,2013,22,43,-58,26,AD,Decrease
23418130,Balthazar,2014,37,6,-66,24,AD,Decrease
23418130,Balthazar,2014,37,-2,-64,54,AD,Decrease
23643516,Yao,2013,62,-28,-8,-28,AD,Decrease
23643516,Yao,2013,62,-34,-16,-26,AD,Decrease
23643516,Yao,2013,62,12,12,4,AD,Decrease
23643516,Yao,2013,62,14,10,14,AD,Decrease
23643516,Yao,2013,62,-14,18,6,AD,Decrease
23643516,Yao,2013,62,32,6,-18,AD,Decrease
23643516,Yao,2013,62,38,14,-16,AD,Decrease
23643516,Yao,2013,62,30,14,-20,AD,Decrease
23643516,Yao,2013,62,-50,2,-6,AD,Decrease
23643516,Yao,2013,62,-38,22,-12,AD,Decrease
23643516,Yao,2013,62,-24,4,-4,AD,Decrease
23643516,Yao,2013,62,-28,-4,-26,AD,Decrease
23643516,Yao,2013,62,-2,48,30,AD,Decrease
23643516,Yao,2013,62,-36,-14,14,AD,Decrease
23643516,Yao,2013,62,-38,38,-10,AD,Decrease
23643516,Yao,2013,62,-52,4,18,AD,Decrease
23643516,Yao,2013,62,-60,4,16,AD,Decrease
23643516,Yao,2013,62,4,30,30,AD,Decrease
23643516,Yao,2013,62,30,-12,0,AD,Decrease
23643516,Yao,2013,62,26,4,-2,AD,Decrease
23643516,Yao,2013,62,24,-6,-4,AD,Decrease
23643516,Yao,2013,62,10,66,16,AD,Decrease
23643516,Yao,2013,62,20,60,22,AD,Decrease
23643516,Yao,2013,62,10,56,28,AD,Decrease
23643516,Yao,2013,62,-2,-56,38,AD,Decrease
23643516,Yao,2013,62,6,-52,34,AD,Decrease
23643516,Yao,2013,62,-2,-66,44,AD,Decrease
23643516,Yao,2013,62,-48,30,-14,AD,Decrease
23643516,Yao,2013,62,-40,22,-10,AD,Decrease
23643516,Yao,2013,62,12,66,16,AD,Decrease
23643516,Yao,2013,62,22,62,6,AD,Decrease
23643516,Yao,2013,62,22,58,22,AD,Decrease
23643516,Yao,2013,62,-44,-62,32,AD,Decrease
23643516,Yao,2013,62,-40,-58,40,AD,Decrease
23643516,Yao,2013,62,-54,-66,30,AD,Decrease
23643516,Yao,2013,62,36,22,-12,AD,Decrease
23643516,Yao,2013,62,-2,-40,-12,AD,Decrease
23643516,Yao,2013,62,-16,-52,-14,AD,Decrease
23643516,Yao,2013,62,10,-42,-18,AD,Decrease
23643516,Yao,2013,62,-14,8,12,AD,Decrease
23643516,Yao,2013,62,-12,18,4,AD,Decrease
23643516,Yao,2013,62,-18,22,0,AD,Decrease
23643516,Yao,2013,62,-52,14,10,AD,Decrease
23643516,Yao,2013,62,-24,2,-22,AD,Decrease
23643516,Yao,2013,62,36,24,-12,AD,Decrease
23643516,Yao,2013,62,14,14,8,AD,Decrease
23643516,Yao,2013,62,12,20,-2,AD,Decrease
23643516,Yao,2013,62,62,-30,14,AD,Decrease
23643516,Yao,2013,62,54,-32,12,AD,Decrease
24123475,Gour,2014,28,0,22,-16,AD,Decrease
24123475,Gour,2014,28,0,34,-14,AD,Decrease
24123475,Gour,2014,28,-2,14,-18,AD,Decrease
24123475,Gour,2014,28,-6,34,-18,AD,Decrease
24123475,Gour,2014,28,-4,28,-14,AD,Decrease
24123475,Gour,2014,28,-8,36,-6,AD,Decrease
24123475,Gour,2014,28,6,48,-8,AD,Decrease
24123475,Gour,2014,28,22,-66,12,AD,Decrease
24123475,Gour,2014,28,8,-70,8,AD,Decrease
24123475,Gour,2014,28,8,-66,6,AD,Decrease
24123475,Gour,2014,28,-8,-90,12,AD,Decrease
24123475,Gour,2014,28,12,-74,4,AD,Decrease
24123475,Gour,2014,28,-10,-98,12,AD,Decrease
24123475,Gour,2014,28,14,-66,28,AD,Decrease
24123475,Gour,2014,28,4,-74,12,AD,Decrease
24123475,Gour,2014,28,-8,-94,16,AD,Decrease
24123475,Gour,2014,28,-2,-62,10,AD,Decrease
24123475,Gour,2014,28,10,-70,32,AD,Decrease
24123475,Gour,2014,28,8,-88,18,AD,Decrease
24123475,Gour,2014,28,10,-28,38,AD,Decrease
24123475,Gour,2014,28,12,-32,38,AD,Decrease
24123475,Gour,2014,28,14,-46,52,AD,Decrease
24123475,Gour,2014,28,8,-38,52,AD,Decrease
24484280,Weiler,2014,48,9,57,-3,AD,Decrease
24484280,Weiler,2014,48,12,-72,24,AD,Decrease
24484280,Weiler,2014,48,-30,24,48,AD,Decrease
24484280,Weiler,2014,48,18,27,48,AD,Decrease
24484280,Weiler,2014,48,-6,-96,3,AD,Decrease
24484280,Weiler,2014,48,-45,-69,-3,AD,Decrease
24484280,Weiler,2014,48,63,-36,3,AD,Decrease
24990445,Balachandar,2015,30,29,36,38,AD,Decrease
24990445,Balachandar,2015,30,29,60,19,AD,Decrease
24990445,Balachandar,2015,30,37,49,25,AD,Decrease
25043909,Pasquini,2015,43,9,-65,44,AD,Decrease
25080229,Adriaanse,2014,59,10,-62,36,AD,Decrease
25745400,Yi,2015,23,6,-76,36,AD,Decrease
25745400,Yi,2015,23,-2,-40,38,AD,Decrease
