PMID,Seed_cambridge,Author ,Year,subjects,x,y,z,Contrast,Direction,
22451310,5,Liang,2012,32,36,-54,57,MCI,Decrease,
22451310,5,Liang,2012,32,24,-57,45,MCI,Decrease,
22451310,5,Liang,2012,32,-42,-48,54,MCI,Decrease,
22451310,5,Liang,2012,32,-36,-48,48,MCI,Decrease,
22451310,6,Liang,2012,32,-15,-60,63,MCI,Decrease,
22451310,6,Liang,2012,32,-15,-69,54,MCI,Decrease,
22451310,6,Liang,2012,32,48,51,6,MCI,Decrease,
22451310,6,Liang,2012,32,-3,-18,54,MCI,Decrease,
22451310,6,Liang,2012,32,3,-21,54,MCI,Decrease,
22451310,6,Liang,2012,32,15,-63,60,MCI,Decrease,
22451310,6,Liang,2012,32,12,-63,48,MCI,Decrease,
22451310,6,Liang,2012,32,-45,42,27,MCI,Decrease,
22451310,6,Liang,2012,32,-42,39,18,MCI,Decrease,
22451310,6,Liang,2012,32,-48,48,15,MCI,Decrease,
22451310,6,Liang,2012,32,-30,-39,60,MCI,Decrease,
22451310,6,Liang,2012,32,36,-54,57,MCI,Decrease,
22451310,6,Liang,2012,32,24,-57,45,MCI,Decrease,
22451310,6,Liang,2012,32,-42,-48,54,MCI,Decrease,
22451310,6,Liang,2012,32,-36,-48,48,MCI,Decrease,
22451310,7,Liang,2012,32,-15,-60,63,MCI,Decrease,
22451310,7,Liang,2012,32,-15,-69,54,MCI,Decrease,
22451310,7,Liang,2012,32,48,51,6,MCI,Decrease,
22451310,7,Liang,2012,32,-3,-18,54,MCI,Decrease,
22451310,7,Liang,2012,32,3,-21,54,MCI,Decrease,
22451310,7,Liang,2012,32,15,-63,60,MCI,Decrease,
22451310,7,Liang,2012,32,12,-63,48,MCI,Decrease,
22451310,7,Liang,2012,32,-45,42,27,MCI,Decrease,
22451310,7,Liang,2012,32,-42,39,18,MCI,Decrease,
22451310,7,Liang,2012,32,-48,48,15,MCI,Decrease,
22451310,7,Liang,2012,32,-30,-39,60,MCI,Decrease,
22451310,7,Liang,2012,32,36,-54,57,MCI,Decrease,
22451310,7,Liang,2012,32,24,-57,45,MCI,Decrease,
22451310,7,Liang,2012,32,-42,-48,54,MCI,Decrease,
22451310,7,Liang,2012,32,-36,-48,48,MCI,Decrease,
22451310,6,Liang,2012,32,54,15,15,MCI,Decrease,
23668966,5,Hahn,2013,54,-12,-54,33,MCI,Decrease,
23668966,5,Hahn,2013,54,27,-6,33,MCI,Decrease,
23668966,5,Hahn,2013,54,-27,-84,9,MCI,Decrease,
24771519,5,Myers,2014,35,8,-66,32,MCI,Decrease,
24771519,6,Myers,2014,35,50,-58,50,MCI,Decrease,
24996404,5,Koch,2015,40,8,-66,32,MCI,Decrease,
24996404,6,Koch,2015,40,50,-58,50,MCI,Decrease,
25444600,2,Das,2015,69,-17,18,-18,MCI,Decrease,
25444600,2,Das,2015,69,-53,-29,-2,MCI,Decrease,
25444600,2,Das,2015,69,52,-26,14,MCI,Decrease,
25745400,5,Yi,2015,32,-8,-64,2,MCI,Decrease,
25745400,7,Yi,2015,32,-36,24,-6,MCI,Decrease,
