,connections
p2p_PCC_X_PCUN
p2p_dMPFC_X_dMPFC2
p2p_TPJ_X_SFGr
p2p_MTLp_X_dMPFC3
p2p_PMC_X_dMPFC3
p2p_MTLp_X_PMC
p2p_MTLp_X_SFGr
p2p_aMPFC_X_PCUN
p2p_dMPFC_X_MTLa
p2p_MTLa_X_PCUNm
p2p_FUS_X_SFGr
